X,Y,Z
-27.098069530482746,4.778120783338076,-47.6592848403869
-28.90733073733266,5.097142349254875,-48.85204984273396
-6.570428527108008,1.158543824145722,-10.677092671504314
-10.913249986037938,1.9243004197547677,-17.06417444770206
-13.823207633282827,2.4374044656829676,-20.809897194725313
-15.283068781355585,2.694817374176231,-22.163192917841542
-17.835949508572046,3.14495912491514,-24.92778754325155
-20.081610975492296,3.54092983107053,-27.060304687195412
-20.543645081063204,3.6223989098901845,-26.700304232805316
-24.397846852253608,4.301998671245406,-30.593617496685305
-26.995461250271994,4.760028175092826,-32.668241928788525
-29.256599144281623,5.158727792909041,-34.17506336172557
-36.26429539217283,6.394373714021738,-40.8968960498329
-101.99070127201409,17.983712415633253,-111.05887054915041
-104.92801706578629,18.50164044093639,-110.3323385759423
-106.80834718028451,18.833193372761063,-108.45603809839265
-107.57499575612816,18.968374201404018,-105.48654347395637
-109.91986436825673,19.381837803938698,-104.08318930886236
-111.13496209897367,19.596092318061725,-101.61005437937753
-112.86443465432093,19.90104499196426,-99.62508511537997
-114.55952760953016,20.199935614776496,-97.6097690853664
-116.21972462286645,20.492673141519294,-95.56472017412236
-119.02887709801192,20.988002515811406,-94.43015708544947
-119.43341875923521,21.059334125505693,-91.38792434194926
-120.98593695990198,21.333084972324205,-89.2574497134922
-122.50160167215367,21.60033755480191,-87.09978640119607
-123.97995120983634,21.86101046521325,-84.91559165020759
-79.97166406901324,14.101162067520745,-52.73537472487174
-88.48134538965748,15.601648481581167,-56.14220722835358
-96.8813959421396,17.082804033298814,-59.110232794162975
-95.4658540794773,16.83320581058913,-55.96750876769396
-96.89651597105546,17.085470102345774,-54.53918868196402
-95.8821889586147,16.906616882791056,-51.76793545918759
-92.96342550435641,16.391960135499478,-48.097947057959296
-88.31485335440638,15.572291443693334,-43.7385184099227
-135.5354677974363,23.898559815631337,-64.17620737880328
-136.61783858291608,24.089410988242037,-61.76452254352989
-139.04208612411426,24.51687123767143,-59.93034048768481
