D,U,V
2,-73,-26
0,-73,-25
2,-73,-24
2,-73,-23
0,-73,-22
38,-73,-21
50,-73,-20
50,-73,-19
48,-73,-18
50,-73,-17
18,-73,-16
39,-72,-60
2,-72,-59
302,-72,-58
366,-72,-57
381,-72,-56
381,-72,-55
366,-72,-54
303,-72,-53
272,-72,-52
252,-72,-51
244,-72,-50
244,-72,-49
256,-72,-48
260,-72,-47
259,-72,-46
262,-72,-45
260,-72,-44
259,-72,-43
267,-72,-42
271,-72,-41
291,-72,-40
307,-72,-39
298,-72,-38
321,-72,-37
412,-72,-36
378,-72,-35
302,-72,-34
225,-72,-33
2,-72,-32
2,-72,-31
0,-72,-30
0,-72,-29
0,-72,-28
0,-72,-27
2,-72,-26
0,-72,-25
2,-72,-24
2,-72,-23
2,-72,-22
2,-72,-21
2,-72,-20
0,-72,-19
0,-72,-18
2,-72,-17
2,-72,-16
0,-71,-60
1,-71,-59
274,-71,-58
366,-71,-57
384,-71,-56
384,-71,-55
380,-71,-54
332,-71,-53
264,-71,-52
244,-71,-51
237,-71,-50
240,-71,-49
248,-71,-48
242,-71,-47
252,-71,-46
252,-71,-45
256,-71,-44
256,-71,-43
259,-71,-42
264,-71,-41
271,-71,-40
276,-71,-39
284,-71,-38
313,-71,-37
359,-71,-36
409,-71,-35
369,-71,-34
271,-71,-33
90,-71,-32
2,-71,-31
0,-71,-30
2,-71,-29
3,-71,-28
2,-71,-27
2,-71,-26
0,-71,-25
2,-71,-24
2,-71,-23
2,-71,-22
0,-71,-21
0,-71,-20
1,-71,-19
2,-71,-18
2,-71,-17
2,-71,-16
0,-70,-60
2,-70,-59
250,-70,-58
362,-70,-57
381,-70,-56
370,-70,-55
356,-70,-54
307,-70,-53
241,-70,-52
228,-70,-51
233,-70,-50
225,-70,-49
232,-70,-48
244,-70,-47
244,-70,-46
248,-70,-45
249,-70,-44
252,-70,-43
256,-70,-42
249,-70,-41
255,-70,-40
256,-70,-39
256,-70,-38
256,-70,-37
271,-70,-36
298,-70,-35
339,-70,-34
355,-70,-33
252,-70,-32
2,-70,-31
2,-70,-30
2,-70,-29
2,-70,-28
0,-70,-27
0,-70,-26
2,-70,-25
2,-70,-24
0,-70,-23
0,-70,-22
0,-70,-21
2,-70,-20
2,-70,-19
2,-70,-18
2,-70,-17
2,-70,-16
2,-69,-60
1,-69,-59
248,-69,-58
355,-69,-57
381,-69,-56
373,-69,-55
363,-69,-54
276,-69,-53
228,-69,-52
205,-69,-51
217,-69,-50
217,-69,-49
221,-69,-48
229,-69,-47
236,-69,-46
244,-69,-45
240,-69,-44
252,-69,-43
256,-69,-42
255,-69,-41
256,-69,-40
256,-69,-39
256,-69,-38
256,-69,-37
255,-69,-36
259,-69,-35
298,-69,-34
344,-69,-33
261,-69,-32
3,-69,-31
2,-69,-30
0,-69,-29
2,-69,-28
2,-69,-27
0,-69,-26
0,-69,-25
0,-69,-24
2,-69,-23
2,-69,-22
2,-69,-21
0,-69,-20
0,-69,-19
2,-69,-18
2,-69,-17
0,-69,-16
0,-68,-60
5,-68,-59
252,-68,-58
359,-68,-57
378,-68,-56
381,-68,-55
355,-68,-54
290,-68,-53
222,-68,-52
196,-68,-51
194,-68,-50
186,-68,-49
192,-68,-48
205,-68,-47
222,-68,-46
240,-68,-45
240,-68,-44
244,-68,-43
252,-68,-42
253,-68,-41
245,-68,-40
252,-68,-39
248,-68,-38
252,-68,-37
256,-68,-36
259,-68,-35
275,-68,-34
306,-68,-33
313,-68,-32
38,-68,-31
2,-68,-30
0,-68,-29
0,-68,-28
2,-68,-27
3,-68,-26
2,-68,-25
2,-68,-24
0,-68,-23
2,-68,-22
2,-68,-21
2,-68,-20
0,-68,-19
0,-68,-18
2,-68,-17
2,-68,-16
2,-67,-60
0,-67,-59
127,-67,-58
369,-67,-57
384,-67,-56
