D,U,V
2,-42,-25
0,-42,-24
0,-42,-23
2,-42,-22
2,-42,-21
2,-42,-20
2,-42,-19
0,-42,-18
2,-42,-17
2,-42,-16
2,-41,-60
1,-41,-59
2,-41,-58
367,-41,-57
388,-41,-56
389,-41,-55
374,-41,-54
307,-41,-53
267,-41,-52
234,-41,-51
211,-41,-50
175,-41,-49
93,-41,-48
2,-41,-47
2,-41,-46
2,-41,-45
2,-41,-44
0,-41,-43
2,-41,-42
0,-41,-41
0,-41,-40
2,-41,-39
2,-41,-38
0,-41,-37
2,-41,-36
2,-41,-35
2,-41,-34
0,-41,-33
0,-41,-32
2,-41,-31
2,-41,-30
2,-41,-29
2,-41,-28
2,-41,-27
2,-41,-26
2,-41,-25
0,-41,-24
2,-41,-23
2,-41,-22
2,-41,-21
0,-41,-20
2,-41,-19
2,-41,-18
2,-41,-17
0,-41,-16
0,-40,-60
0,-40,-59
0,-40,-58
370,-40,-57
393,-40,-56
388,-40,-55
370,-40,-54
303,-40,-53
267,-40,-52
237,-40,-51
209,-40,-50
182,-40,-49
39,-40,-48
0,-40,-47
2,-40,-46
2,-40,-45
2,-40,-44
2,-40,-43
0,-40,-42
1,-40,-41
0,-40,-40
2,-40,-39
2,-40,-38
2,-40,-37
2,-40,-36
0,-40,-35
2,-40,-34
2,-40,-33
0,-40,-32
0,-40,-31
6,-40,-30
2,-40,-29
2,-40,-28
2,-40,-27
2,-40,-26
2,-40,-25
2,-40,-24
0,-40,-23
2,-40,-22
2,-40,-21
2,-40,-20
0,-40,-19
2,-40,-18
2,-40,-17
2,-40,-16
0,-39,-60
3,-39,-59
2,-39,-58
347,-39,-57
393,-39,-56
388,-39,-55
369,-39,-54
309,-39,-53
261,-39,-52
241,-39,-51
205,-39,-50
185,-39,-49
74,-39,-48
2,-39,-47
0,-39,-46
2,-39,-45
2,-39,-44
2,-39,-43
0,-39,-42
2,-39,-41
2,-39,-40
2,-39,-39
0,-39,-38
2,-39,-37
2,-39,-36
2,-39,-35
0,-39,-34
2,-39,-33
0,-39,-32
2,-39,-31
0,-39,-30
2,-39,-29
2,-39,-28
2,-39,-27
2,-39,-26
2,-39,-25
2,-39,-24
0,-39,-23
0,-39,-22
0,-39,-21
2,-39,-20
2,-39,-19
2,-39,-18
0,-39,-17
2,-39,-16
2,-38,-60
0,-38,-59
0,-38,-58
383,-38,-57
389,-38,-56
393,-38,-55
388,-38,-54
328,-38,-53
264,-38,-52
218,-38,-51
217,-38,-50
186,-38,-49
103,-38,-48
2,-38,-47
2,-38,-46
0,-38,-45
2,-38,-44
2,-38,-43
2,-38,-42
0,-38,-41
2,-38,-40
2,-38,-39
2,-38,-38
0,-38,-37
2,-38,-36
2,-38,-35
2,-38,-34
0,-38,-33
2,-38,-32
1,-38,-31
2,-38,-30
1,-38,-29
2,-38,-28
2,-38,-27
2,-38,-26
0,-38,-25
2,-38,-24
2,-38,-23
0,-38,-22
0,-38,-21
0,-38,-20
2,-38,-19
2,-38,-18
2,-38,-17
0,-38,-16
2,-37,-60
3,-37,-59
0,-37,-58
347,-37,-57
392,-37,-56
384,-37,-55
378,-37,-54
309,-37,-53
263,-37,-52
238,-37,-51
216,-37,-50
175,-37,-49
90,-37,-48
1,-37,-47
2,-37,-46
2,-37,-45
0,-37,-44
0,-37,-43
2,-37,-42
0,-37,-41
2,-37,-40
2,-37,-39
2,-37,-38
2,-37,-37
0,-37,-36
2,-37,-35
2,-37,-34
2,-37,-33
0,-37,-32
0,-37,-31
2,-37,-30
2,-37,-29
0,-37,-28
0,-37,-27
2,-37,-26
2,-37,-25
2,-37,-24
0,-37,-23
0,-37,-22
2,-37,-21
0,-37,-20
0,-37,-19
3,-37,-18
2,-37,-17
2,-37,-16
0,-36,-60
2,-36,-59
0,-36,-58
355,-36,-57
392,-36,-56
388,-36,-55
363,-36,-54
309,-36,-53
259,-36,-52
241,-36,-51
206,-36,-50
190,-36,-49
86,-36,-48
0,-36,-47
2,-36,-46
2,-36,-45
2,-36,-44
0,-36,-43
2,-36,-42
2,-36,-41
2,-36,-40
2,-36,-39
0,-36,-38
2,-36,-37
2,-36,-36
0,-36,-35
2,-36,-34
2,-36,-33
2,-36,-32
2,-36,-31
0,-36,-30
2,-36,-29
2,-36,-28
2,-36,-27
0,-36,-26
2,-36,-25
2,-36,-24
2,-36,-23
0,-36,-22
0,-36,-21
1,-36,-20
0,-36,-19
2,-36,-18
2,-36,-17
2,-36,-16
2,-35,-60
2,-35,-59
3,-35,-58
377,-35,-57
388,-35,-56
389,-35,-55
356,-35,-54
323,-35,-53
263,-35,-52
237,-35,-51
200,-35,-50
201,-35,-49
87,-35,-48
2,-35,-47
2,-35,-46
0,-35,-45
2,-35,-44
2,-35,-43
0,-35,-42
0,-35,-41
0,-35,-40
2,-35,-39
0,-35,-38
2,-35,-37
2,-35,-36
2,-35,-35
0,-35,-34
2,-35,-33
2,-35,-32
0,-35,-31
0,-35,-30
2,-35,-29
2,-35,-28
2,-35,-27
2,-35,-26
0,-35,-25
2,-35,-24
2,-35,-23
2,-35,-22
0,-35,-21
2,-35,-20
2,-35,-19
0,-35,-18
0,-35,-17
2,-35,-16
2,-34,-60
0,-34,-59
0,-34,-58
370,-34,-57
391,-34,-56
378,-34,-55
370,-34,-54
320,-34,-53
265,-34,-52
240,-34,-51
209,-34,-50
179,-34,-49
111,-34,-48
2,-34,-47
2,-34,-46
0,-34,-45
2,-34,-44
2,-34,-43
2,-34,-42
0,-34,-41
0,-34,-40
2,-34,-39
2,-34,-38
2,-34,-37
2,-34,-36
2,-34,-35
2,-34,-34
0,-34,-33
0,-34,-32
2,-34,-31
2,-34,-30
2,-34,-29
2,-34,-28
2,-34,-27
2,-34,-26
0,-34,-25
0,-34,-24
2,-34,-23
2,-34,-22
2,-34,-21
0,-34,-20
2,-34,-19
2,-34,-18
0,-34,-17
0,-34,-16
2,-33,-60
2,-33,-59
0,-33,-58
374,-33,-57
392,-33,-56
389,-33,-55
384,-33,-54
347,-33,-53
279,-33,-52
237,-33,-51
201,-33,-50
184,-33,-49
51,-33,-48
0,-33,-47
2,-33,-46
2,-33,-45
2,-33,-44
0,-33,-43
2,-33,-42
2,-33,-41
2,-33,-40
0,-33,-39
2,-33,-38
2,-33,-37
2,-33,-36
2,-33,-35
2,-33,-34
2,-33,-33
2,-33,-32
0,-33,-31
0,-33,-30
0,-33,-29
2,-33,-28
0,-33,-27
2,-33,-26
2,-33,-25
2,-33,-24
0,-33,-23
2,-33,-22
2,-33,-21
0,-33,-20
2,-33,-19
2,-33,-18
2,-33,-17
0,-33,-16
2,-32,-60
2,-32,-59
2,-32,-58
377,-32,-57
388,-32,-56
388,-32,-55
367,-32,-54
321,-32,-53
260,-32,-52
233,-32,-51
217,-32,-50
182,-32,-49
86,-32,-48
0,-32,-47
0,-32,-46
2,-32,-45
2,-32,-44
0,-32,-43
2,-32,-42
2,-32,-41
2,-32,-40
0,-32,-39
2,-32,-38
2,-32,-37
2,-32,-36
2,-32,-35
2,-32,-34
2,-32,-33
2,-32,-32
0,-32,-31
0,-32,-30
2,-32,-29
2,-32,-28
0,-32,-27
2,-32,-26
2,-32,-25
2,-32,-24
0,-32,-23
0,-32,-22
2,-32,-21
2,-32,-20
0,-32,-19
0,-32,-18
2,-32,-17
2,-32,-16
2,-31,-60
0,-31,-59
2,-31,-58
381,-31,-57
395,-31,-56
392,-31,-55
355,-31,-54
299,-31,-53
248,-31,-52
241,-31,-51
202,-31,-50
190,-31,-49
84,-31,-48
2,-31,-47
2,-31,-46
0,-31,-45
0,-31,-44
2,-31,-43
2,-31,-42
0,-31,-41
2,-31,-40
2,-31,-39
0,-31,-38
0,-31,-37
2,-31,-36
2,-31,-35
2,-31,-34
2,-31,-33
2,-31,-32
2,-31,-31
2,-31,-30
0,-31,-29
0,-31,-28
2,-31,-27
2,-31,-26
0,-31,-25
2,-31,-24
2,-31,-23
2,-31,-22
0,-31,-21
2,-31,-20
0,-31,-19
2,-31,-18
1,-31,-17
2,-31,-16
2,-30,-60
0,-30,-59
0,-30,-58
362,-30,-57
392,-30,-56
391,-30,-55
385,-30,-54
306,-30,-53
256,-30,-52
244,-30,-51
217,-30,-50
197,-30,-49
99,-30,-48
2,-30,-47
2,-30,-46
2,-30,-45
0,-30,-44
2,-30,-43
2,-30,-42
2,-30,-41
0,-30,-40
2,-30,-39
0,-30,-38
0,-30,-37
0,-30,-36
2,-30,-35
2,-30,-34
2,-30,-33
1,-30,-32
2,-30,-31
2,-30,-30
2,-30,-29
0,-30,-28
0,-30,-27
2,-30,-26
2,-30,-25
0,-30,-24
2,-30,-23
2,-30,-22
2,-30,-21
0,-30,-20
2,-30,-19
0,-30,-18
2,-30,-17
2,-30,-16
2,-29,-60
2,-29,-59
2,-29,-58
362,-29,-57
392,-29,-56
380,-29,-55
371,-29,-54
302,-29,-53
264,-29,-52
240,-29,-51
217,-29,-50
194,-29,-49
99,-29,-48
0,-29,-47
0,-29,-46
2,-29,-45
0,-29,-44
0,-29,-43
2,-29,-42
2,-29,-41
0,-29,-40
2,-29,-39
2,-29,-38
0,-29,-37
0,-29,-36
0,-29,-35
2,-29,-34
2,-29,-33
2,-29,-32
2,-29,-31
2,-29,-30
2,-29,-29
0,-29,-28
0,-29,-27
2,-29,-26
2,-29,-25
2,-29,-24
1,-29,-23
2,-29,-22
2,-29,-21
0,-29,-20
2,-29,-19
0,-29,-18
2,-29,-17
2,-29,-16
2,-28,-60
2,-28,-59
2,-28,-58
362,-28,-57
392,-28,-56
389,-28,-55
359,-28,-54
302,-28,-53
265,-28,-52
241,-28,-51
214,-28,-50
198,-28,-49
94,-28,-48
2,-28,-47
2,-28,-46
2,-28,-45
0,-28,-44
1,-28,-43
2,-28,-42
2,-28,-41
0,-28,-40
2,-28,-39
2,-28,-38
0,-28,-37
0,-28,-36
2,-28,-35
2,-28,-34
2,-28,-33
2,-28,-32
2,-28,-31
2,-28,-30
2,-28,-29
0,-28,-28
2,-28,-27
3,-28,-26
2,-28,-25
0,-28,-24
2,-28,-23
2,-28,-22
2,-28,-21
0,-28,-20
2,-28,-19
0,-28,-18
1,-28,-17
0,-28,-16
2,-27,-60
1,-27,-59
2,-27,-58
362,-27,-57
391,-27,-56
388,-27,-55
371,-27,-54
305,-27,-53
260,-27,-52
230,-27,-51
204,-27,-50
202,-27,-49
99,-27,-48
2,-27,-47
0,-27,-46
0,-27,-45
2,-27,-44
0,-27,-43
2,-27,-42
2,-27,-41
2,-27,-40
0,-27,-39
2,-27,-38
2,-27,-37
0,-27,-36
2,-27,-35
3,-27,-34
2,-27,-33
0,-27,-32
2,-27,-31
2,-27,-30
2,-27,-29
0,-27,-28
0,-27,-27
2,-27,-26
2,-27,-25
2,-27,-24
2,-27,-23
2,-27,-22
2,-27,-21
0,-27,-20
2,-27,-19
2,-27,-18
0,-27,-17
0,-27,-16
2,-26,-60
1,-26,-59
2,-26,-58
332,-26,-57
392,-26,-56
388,-26,-55
378,-26,-54
316,-26,-53
251,-26,-52
226,-26,-51
214,-26,-50
205,-26,-49
114,-26,-48
2,-26,-47
0,-26,-46
2,-26,-45
0,-26,-44
2,-26,-43
2,-26,-42
2,-26,-41
0,-26,-40
2,-26,-39
2,-26,-38
2,-26,-37
0,-26,-36
2,-26,-35
2,-26,-34
2,-26,-33
0,-26,-32
2,-26,-31
2,-26,-30
2,-26,-29
0,-26,-28
0,-26,-27
2,-26,-26
2,-26,-25
2,-26,-24
2,-26,-23
2,-26,-22
2,-26,-21
0,-26,-20
2,-26,-19
2,-26,-18
0,-26,-17
1,-26,-16
2,-25,-60
2,-25,-59
0,-25,-58
382,-25,-57
391,-25,-56
390,-25,-55
369,-25,-54
309,-25,-53
260,-25,-52
237,-25,-51
205,-25,-50
186,-25,-49
130,-25,-48
2,-25,-47
2,-25,-46
0,-25,-45
2,-25,-44
2,-25,-43
2,-25,-42
0,-25,-41
2,-25,-40
2,-25,-39
2,-25,-38
0,-25,-37
2,-25,-36
0,-25,-35
2,-25,-34
2,-25,-33
2,-25,-32
2,-25,-31
2,-25,-30
0,-25,-29
2,-25,-28
2,-25,-27
0,-25,-26
0,-25,-25
2,-25,-24
2,-25,-23
2,-25,-22
0,-25,-21
2,-25,-20
2,-25,-19
2,-25,-18
2,-25,-17
2,-25,-16
2,-24,-60
2,-24,-59
2,-24,-58
381,-24,-57
389,-24,-56
389,-24,-55
373,-24,-54
295,-24,-53
267,-24,-52
232,-24,-51
207,-24,-50
186,-24,-49
130,-24,-48
2,-24,-47
0,-24,-46
0,-24,-45
2,-24,-44
2,-24,-43
0,-24,-42
2,-24,-41
2,-24,-40
0,-24,-39
0,-24,-38
2,-24,-37
0,-24,-36
0,-24,-35
2,-24,-34
2,-24,-33
2,-24,-32
2,-24,-31
0,-24,-30
2,-24,-29
2,-24,-28
2,-24,-27
0,-24,-26
2,-24,-25
2,-24,-24
0,-24,-23
2,-24,-22
2,-24,-21
2,-24,-20
0,-24,-19
2,-24,-18
0,-24,-17
0,-24,-16
0,-23,-60
2,-23,-59
2,-23,-58
380,-23,-57
388,-23,-56
388,-23,-55
381,-23,-54
320,-23,-53
257,-23,-52
233,-23,-51
193,-23,-50
189,-23,-49
55,-23,-48
1,-23,-47
2,-23,-46
0,-23,-45
0,-23,-44
0,-23,-43
2,-23,-42
2,-23,-41
2,-23,-40
0,-23,-39
2,-23,-38
2,-23,-37
2,-23,-36
2,-23,-35
2,-23,-34
2,-23,-33
0,-23,-32
0,-23,-31
2,-23,-30
2,-23,-29
2,-23,-28
0,-23,-27
2,-23,-26
0,-23,-25
0,-23,-24
0,-23,-23
2,-23,-22
2,-23,-21
2,-23,-20
0,-23,-19
2,-23,-18
2,-23,-17
0,-23,-16
0,-22,-60
3,-22,-59
2,-22,-58
366,-22,-57
392,-22,-56
391,-22,-55
373,-22,-54
320,-22,-53
253,-22,-52
241,-22,-51
194,-22,-50
194,-22,-49
79,-22,-48
0,-22,-47
2,-22,-46
2,-22,-45
0,-22,-44
0,-22,-43
2,-22,-42
2,-22,-41
0,-22,-40
1,-22,-39
2,-22,-38
2,-22,-37
0,-22,-36
0,-22,-35
0,-22,-34
2,-22,-33
0,-22,-32
2,-22,-31
2,-22,-30
2,-22,-29
2,-22,-28
2,-22,-27
2,-22,-26
0,-22,-25
0,-22,-24
4,-22,-23
2,-22,-22
2,-22,-21
0,-22,-20
2,-22,-19
2,-22,-18
0,-22,-17
0,-22,-16
0,-21,-60
2,-21,-59
2,-21,-58
376,-21,-57
391,-21,-56
392,-21,-55
370,-21,-54
294,-21,-53
274,-21,-52
225,-21,-51
221,-21,-50
190,-21,-49
100,-21,-48
14,-21,-47
13,-21,-46
66,-21,-45
111,-21,-44
160,-21,-43
182,-21,-42
161,-21,-41
74,-21,-40
2,-21,-39
2,-21,-38
0,-21,-37
2,-21,-36
0,-21,-35
2,-21,-34
2,-21,-33
2,-21,-32
2,-21,-31
2,-21,-30
0,-21,-29
2,-21,-28
2,-21,-27
0,-21,-26
0,-21,-25
2,-21,-24
2,-21,-23
0,-21,-22
2,-21,-21
2,-21,-20
2,-21,-19
0,-21,-18
2,-21,-17
0,-21,-16
